,repository_name,language
0,,
1,,Jupyter Notebook
2,,Smarty
3,,Smarty
4,,JavaScript
5,,
6,,Python
7,,PHP
8,,Java
9,,Python
10,,CSS
11,,Java
12,,Java
13,,PowerShell
14,,Java
15,,C#
16,,PHP
17,,Ruby
18,,JavaScript
19,,Python
20,,PHP
21,,Python
22,,Jupyter Notebook
23,,C#
24,,Java
25,,JavaScript
26,,PHP
27,,Ruby
28,,PHP
29,,C#
30,,Java
31,,PHP
32,,Python
33,,Ruby
34,,Kotlin
35,,PHP
36,,Python
37,,C
38,,
39,,Swift
40,,Python
41,,C++
42,,Python
43,,Go
44,,C
45,,Python
46,,Kotlin
47,,Python
48,,Python
49,,Python
50,,
51,,Java
52,,Kotlin
53,,Python
54,,Python
55,,TypeScript
56,,TypeScript
57,,Python
58,,
59,,Jupyter Notebook
60,,Python
61,,Python
62,,Python
63,,Java
64,,Jupyter Notebook
65,,Python
66,,Python
67,,Java
68,,Objective-C
69,,JavaScript
70,,TypeScript
71,,Java
72,,
73,,Python
74,,Python
75,,Python
76,,Java
77,,Java
78,,Kotlin
79,,Java
80,,C#
81,,C#
82,,JavaScript
83,,JavaScript
84,,Go
85,,Java
86,,TypeScript
87,,Python
88,,C++
89,,
90,,Python
91,,Python
92,,Java
93,,C#
94,,HTML
95,,Kotlin
96,,
97,,TypeScript
98,,PHP
99,,PHP
100,,
101,,JavaScript
102,,Python
103,,Scala
104,,Python
105,,Python
106,,Python
107,,Python
108,,Python
109,,Python
110,,Java
111,,TypeScript
112,,Swift
113,,Python
114,,TypeScript
115,,TypeScript
116,,Ruby
117,,Python
118,,Python
119,,Python
120,,C
121,,Python
122,,Python
123,,Python
124,,C++
125,,
126,,Mustache
127,,PHP
128,,Java
129,,PHP
130,,Python
131,,Swift
132,,Python
133,,Python
134,,JavaScript
135,,Swift
136,,Swift
137,,Swift
138,,Swift
139,,Swift
140,,Swift
141,,Swift
142,,Swift
143,,Swift
144,,Python
145,,Python
146,,Python
147,,Python
148,,TypeScript
149,,TypeScript
150,,Python
151,,Python
152,,JavaScript
153,,Python
154,,Python
155,,Zeek
156,,Zeek
157,,Zeek
158,,Zeek
159,,Zeek
160,,Python
