,repository_name,language
0,,
1,,Java
2,,TypeScript
3,,Python
4,,Swift
5,,C++
6,,Starlark
7,,Python
8,,Swift
9,,C++
10,,Python
11,,Java
12,,HTML
13,,Python
14,,Python
15,,Python
16,,C
17,,C++
18,,Python
19,,Python
20,,Python
21,,Swift
22,,Go
23,,Swift
24,,Python
25,,Jupyter Notebook
26,,C
27,,C
28,,C
29,,C
30,,
31,,Python
32,,HTML
33,,Python
34,,Go
35,,TypeScript
36,,Swift
37,,Swift
38,,C++
39,,C
40,,Python
41,,Jupyter Notebook
42,,Ruby
43,,C
44,,Python
45,,Python
46,,
47,,C++
48,,C++
49,,Python
50,,Python
51,,Python
52,,Python
53,,Python
54,,Jupyter Notebook
55,,Python
56,,Python
57,,Python
58,,Python
59,,Python
60,,Python
61,,Python
62,,Python
63,,Python
64,,Python
65,,
66,,Python
67,,Python
68,,Jupyter Notebook
69,,Python
70,,Python
71,,Python
72,,
73,,Python
74,,Python
75,,Python
76,,Python
77,,R
78,,Python
79,,Python
80,,Python
81,,Python
82,,Python
83,,Python
84,,Python
85,,Python
86,,
87,,Python
88,,Python
89,,Python
90,,Python
91,,Python
92,,Python
93,,Python
94,,Jupyter Notebook
95,,Python
96,,Python
97,,Python
98,,Python
99,,Python
100,,Jupyter Notebook
101,,Python
102,,Python
103,,Python
104,,Python
105,,Python
106,,Python
107,,Python
108,,Jupyter Notebook
109,,Jupyter Notebook
110,,
111,,Python
112,,Ruby
113,,Python
114,,Python
115,,
116,,Python
117,,Python
118,,Python
119,,TypeScript
120,,Python
121,,Python
122,,Python
123,,Python
124,,Svelte
125,,Python
126,,
127,,Python
128,,Python
129,,Python
130,,JavaScript
131,,Python
132,,Python
133,,Python
134,,Python
135,,
136,,Python
137,,Python
138,,Jupyter Notebook
139,,Python
140,,Python
141,,Python
142,,Python
143,,Jupyter Notebook
144,,Python
145,,Python
146,,Python
147,,Swift
148,,Python
149,,Python
150,,JavaScript
151,,Python
152,,Python
153,,Python
154,,Python
155,,Python
156,,Jupyter Notebook
157,,Python
158,,Python
159,,Python
160,,Python
161,,Python
162,,Python
163,,Python
164,,Python
165,,Python
166,,Python
167,,Python
168,,Python
169,,Python
170,,Python
171,,Python
172,,Python
173,,Python
174,,Python
175,,Python
176,,Python
177,,Python
178,,Python
179,,Python
180,,Python
181,,Python
182,,Python
183,,Python
184,,Python
185,,
186,,
187,,Python
188,,Python
189,,
190,,Python
191,,Python
192,,Svelte
193,,
194,,Python
195,,Python
196,,Python
197,,Python
198,,Python
199,,Python
200,,
201,,TypeScript
202,,Python
203,,Python
204,,Python
205,,Python
206,,Python
207,,Jupyter Notebook
208,,Python
209,,Jupyter Notebook
210,,Python
211,,
212,,Python
213,,Python
214,,Java
215,,Java
216,,Python
217,,JavaScript
218,,Jupyter Notebook
219,,Swift
220,,Java
221,,
222,,Go
223,,Go
224,,Kotlin
225,,Groovy
226,,Pkl
227,,Pkl
228,,JavaScript
229,,Kotlin
230,,Lua
231,,Kotlin
232,,Pkl
233,,Pkl
234,,Java
235,,Swift
236,,Swift
237,,TypeScript
238,,Pkl
239,,Python
240,,Starlark
241,,Swift
242,,Swift
243,,Swift
244,,Swift
245,,Swift
246,,Swift
247,,Swift
248,,Swift
249,,JavaScript
250,,Swift
251,,HTML
252,,Swift
253,,Swift
254,,Java
255,,HTML
256,,Swift
257,,Swift
258,,Swift
259,,Swift
260,,Swift
261,,Swift
262,,Swift
263,,Swift
264,,Swift
265,,Swift
266,,C++
267,,C++
268,,Swift
269,,Swift
270,,Swift
271,,C
272,,Swift
273,,Assembly
274,,Swift
275,,Swift
276,,Swift
277,,Swift
278,,Swift
279,,Swift
280,,
281,,Swift
282,,Swift
283,,HTML
284,,
285,,C++
286,,Swift
287,,C++
288,,LLVM
289,,Swift
290,,Swift
291,,Swift
292,,Swift
293,,Swift
294,,Swift
295,,Swift
296,,Swift
297,,Swift
298,,Swift
299,,Swift
300,,Swift
301,,Assembly
302,,Swift
303,,Swift
304,,Swift
305,,Swift
306,,Swift
307,,Swift
308,,Swift
309,,Swift
310,,Swift
311,,Swift
312,,
313,,
314,,Swift
315,,Swift
316,,Swift
317,,Swift
318,,Swift
319,,Swift
320,,Swift
321,,Swift
322,,Swift
323,,Swift
324,,Svelte
325,,Shell
326,,Python
327,,Kotlin
328,,C++
329,,C#
330,,Mathematica
331,,HTML
332,,Python
